"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p75"
24003750203,"Baltimore, MD",0.3977
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.372
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.3531
24510130806,"Woodberry, Baltimore, MD",0.3456
24510250203,"Cherry Hill, Baltimore, MD",0.3392
24005452000,"Sparrows Point, MD",0.3298
24005440300,"Nottingham, MD",0.3262
24510280101,"Reisterstown Station, Baltimore, MD",0.3228
24005450400,"Essex, MD",0.3117
24005402403,"Gwynn Oak, Baltimore, MD",0.3093
24003750201,"Brooklyn, Baltimore, MD",0.3068
24510030100,"Perkins Homes, Baltimore, MD",0.3001
24005420301,"Dundalk, MD",0.2988
24005450100,"Rosedale, MD",0.2911
24005430400,"Halethorpe, MD",0.2894
24005430800,"Halethorpe, MD",0.2872
24005401102,"Gwynn Oak, Woodlawn, MD",0.2856
24005420401,"Dundalk, MD",0.2856
24510260401,"Armistead Gardens, Baltimore, MD",0.2854
24005402405,"Gwynn Oak, Baltimore, MD",0.2853
24510160802,"Edmondson, Baltimore, MD",0.2853
24003750101,"Brooklyn Park, MD",0.282
24005492300,"Essex, MD",0.281
24003750202,"Brooklyn Park, MD",0.2809
24005420800,"Dundalk, MD",0.2807
24005452100,"Sparrows Point, MD",0.2785
24005452500,"Dundalk, MD",0.2781
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2766
24510200701,"Allendale, Baltimore, MD",0.2735
24005411302,"White Marsh, MD",0.2729
24510250402,"Brooklyn, Baltimore, MD",0.2712
24003751102,"Glen Burnie, MD",0.2701
24510190200,"Pratt Monroe, Baltimore, MD",0.2693
24005403201,"Gwynn Oak, Lochearn, MD",0.2683
24005421200,"Dundalk, MD",0.2682
24005430700,"Halethorpe, MD",0.2678
24005451702,"Middle River, MD",0.2667
24510260404,"Baltimore Highlands, Baltimore, MD",0.2667
24005403202,"Gwynn Oak, Baltimore, MD",0.2662
24005452300,"Baltimore, MD",0.2657
24510230100,"Baltimore, MD",0.2645
24510250301,"Westport, Baltimore, MD",0.2644
24005402304,"Gwynn Oak, Baltimore, MD",0.2635
24510240100,"Locust Point, Baltimore, MD",0.2627
24510151100,"East Arlington, Baltimore, MD",0.2607
24510090500,"Better Waverly, Baltimore, MD",0.2602
24005440702,"Rosedale, MD",0.2599
24005401301,"Woodlawn, MD",0.2571
24510260402,"Frankford, Baltimore, MD",0.2571
24005401101,"Woodlawn, MD",0.2558
24003750102,"Baltimore, MD",0.2556
24005450200,"Essex, MD",0.2553
24510270901,"New Northwood, Baltimore, MD",0.2546
24005420302,"Dundalk, MD",0.2538
24510270803,"Loch Raven, Baltimore, MD",0.2536
24510150701,"Hanlon Longwood, Baltimore, MD",0.2533
24510270801,"Idlewood, Baltimore, MD",0.2529
24005401200,"Woodlawn, MD",0.2525
24005402404,"Gwynn Oak, Lochearn, MD",0.2517
24510271900,"Glen, Baltimore, MD",0.2508
24005450501,"Essex, MD",0.2506
24005441101,"Rosedale, MD",0.2503
24005451000,"Essex, MD",0.2502
24510270802,"Ramblewood, Baltimore, MD",0.2498
24510271700,"Central Park Heights, Baltimore, MD",0.2484
24005450900,"Essex, MD",0.248
24510260102,"Frankford, Baltimore, MD",0.248
24510250206,"Morrell Park, Baltimore, MD",0.2478
24510270902,"Perring Loch, Baltimore, MD",0.2474
24510272007,"Fallstaff, Baltimore, MD",0.2473
24005451200,"Middle River, MD",0.2471
24003751200,"Linthicum Heights, MD",0.2471
24005430600,"Relay, Halethorpe, MD",0.2465
24005441102,"Rosedale, MD",0.2465
24510240400,"Riverside Park, Baltimore, MD",0.2456
24510130700,"Hampden, Baltimore, MD",0.2452
24005451500,"Middle River, MD",0.2447
24005451900,"Edgemere, MD",0.244
24510270401,"Glenham-Belford, Baltimore, MD",0.2435
24005421102,"Dundalk, MD",0.2431
24005400600,"Catonsville, MD",0.2429
24510250205,"Lakeland, Baltimore, MD",0.2427
24003750803,"Glen Burnie, MD",0.2413
24005420402,"Dundalk, MD",0.2403
24510150702,"Walbrook, Baltimore, MD",0.2392
24027601201,"Elkridge, MD",0.2389
24005451402,"Middle River, MD",0.2386
24510260501,"Joseph Lee, Baltimore, MD",0.2382
24510270903,"Hillen, Baltimore, MD",0.2379
24005421101,"Baltimore, MD",0.2378
24510200600,"Baltimore, MD",0.236
24510280200,"Gwynn Oak, Baltimore, MD",0.2356
24005420303,"Dundalk, MD",0.2352
24510130804,"Hampden, Baltimore, MD",0.2352
24005403100,"Gwynn Oak, Pikesville, MD",0.2349
24005420600,"Baltimore, MD",0.2339
24005401505,"Catonsville, MD",0.2335
24005420701,"Dundalk, MD",0.2319
24510151000,"Dorchester, Baltimore, MD",0.2318
24510260604,"O'Donnell Heights, Baltimore, MD",0.2315
24005401302,"Gwynn Oak, Baltimore, MD",0.2312
24510250101,"Beechfield, Baltimore, MD",0.2301
24510271002,"Winston - Govans, Baltimore, MD",0.2301
24005452400,"Dundalk, MD",0.2289
24003750400,"Linthicum Heights, MD",0.2289
24005421300,"Dundalk, MD",0.2289
24005451300,"Middle River, MD",0.2283
24510080101,"Belair - Edison, Baltimore, MD",0.2282
24510250204,"Cherry Hill, Baltimore, MD",0.2271
24003750300,"Linthicum Heights, MD",0.2267
24005451401,"Middle River, MD",0.2267
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.2257
24005403500,"Pikesville, MD",0.2253
24510250500,"Curtis Bay, Baltimore, MD",0.2252
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.2251
24510270301,"Lauraville, Baltimore, MD",0.2247
24510260301,"Belair - Edison, Baltimore, MD",0.224
24510272003,"Baltimore, MD",0.2238
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.2234
24510200800,"Irvington, Baltimore, MD",0.223
24005492102,"Parkville, MD",0.2216
24510130600,"Hampden, Baltimore, MD",0.2216
24510260203,"Frankford, Baltimore, MD",0.221
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.2201
24510260302,"Belair - Edison, Baltimore, MD",0.2197
24510250303,"Morrell Park, Baltimore, MD",0.2196
24510250207,"Cherry Hill, Baltimore, MD",0.2194
24005450300,"Essex, MD",0.2187
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.218
24510180100,"Poppleton, Baltimore, MD",0.2176
24510250103,"Violetville, Baltimore, MD",0.2175
24510080102,"Belair - Edison, Baltimore, MD",0.2172
24005440400,"Baltimore, MD",0.2144
24510250401,"Brooklyn, Baltimore, MD",0.2142
24510240200,"Riverside, Baltimore, MD",0.214
24510170100,"Downtown, Baltimore, MD",0.214
24510260202,"Parkside, Baltimore, MD",0.2138
24510150400,"Mondawmin, Baltimore, MD",0.2134
24510280402,"Rognel Heights, Baltimore, MD",0.2131
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.2125
24005440701,"Rosedale, MD",0.2104
24005491000,"Baltimore, MD",0.2104
24005420200,"Dundalk, MD",0.2101
24510270805,"Mid-Govans, Baltimore, MD",0.2096
24510260403,"Cedonia, Baltimore, MD",0.2094
24510010300,"Canton, Baltimore, MD",0.2081
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2069
24005440200,"Nottingham, MD",0.2065
24005441000,"Baltimore, MD",0.206
24510271001,"Baltimore, MD",0.2057
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2041
24510220100,"Baltimore, MD",0.2039
24510200400,"Shipley Hill, Baltimore, MD",0.2021
24005400701,"Catonsville, MD",0.202
24005403401,"Pikesville, MD",0.2013
24510271801,"Arlington, Baltimore, MD",0.2013
24027601204,"Elkridge, MD",0.2011
24005451100,"Essex, MD",0.2008
24510140300,"Druid Heights, Baltimore, MD",0.2007
24005420500,"Baltimore, MD",0.2005
24005450800,"Essex, MD",0.2002
24510280404,"Irvington, Baltimore, MD",0.1986
24510280500,"Pleasant View Gardens, Baltimore, MD",0.198
24510271101,"Radnor - Winston, Baltimore, MD",0.1971
24510151300,"Central Park Heights, Baltimore, MD",0.1967
24510200200,"Lexington, Baltimore, MD",0.1967
24510260201,"Frankford, Baltimore, MD",0.1962
24005440600,"Rosedale, MD",0.196
24510130805,"Cold Springs, Baltimore, MD",0.196
24510120700,"Remington, Baltimore, MD",0.1959
24510270200,"Lauraville, Baltimore, MD",0.1958
24510230300,"South Baltimore, Baltimore, MD",0.1952
24005420900,"Dundalk, MD",0.1952
24005491300,"Baltimore, MD",0.1945
24005430900,"Baltimore, MD",0.1944
24005403300,"Lochearn, Pikesville, MD",0.1942
24005420100,"Dundalk, MD",0.1937
24005451600,"Middle River, MD",0.1932
24510060100,"Patterson Park, Baltimore, MD",0.1924
24510060400,"Baltimore, MD",0.1915
24510150600,"NW Community Action, Baltimore, MD",0.1909
24005402305,"Lochearn, Pikesville, MD",0.1907
24510190100,"Franklin Square, Baltimore, MD",0.1906
24510270101,"Arcadia, Baltimore, MD",0.1905
24005400800,"Catonsville, MD",0.1905
24510272004,"Cheswolde, Baltimore, MD",0.19
24005440500,"Nottingham, MD",0.1896
24510271600,"Edgecomb, Baltimore, MD",0.1892
24005440100,"Baltimore, MD",0.189
24510120300,"Harwood, Baltimore, MD",0.1875
24510280401,"Baltimore, MD",0.187
24510280102,"Gwynn Oak, Baltimore, MD",0.1867
24510090800,"East Baltimore Midway, Baltimore, MD",0.1867
24510270302,"Waltherson, Baltimore, MD",0.1864
24510200500,"Mill Hill, Baltimore, MD",0.1863
24005451701,"Middle River, MD",0.186
24005440800,"Rosedale, MD",0.1857
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1855
24510120600,"Old Goucher, Baltimore, MD",0.1849
24510100100,"Johnson Square, Baltimore, MD",0.1847
24510160700,"Rosemont, Baltimore, MD",0.1845
24005400200,"Catonsville, MD",0.1842
24027601104,"Ellicott City, MD",0.1839
24005403601,"Baltimore, MD",0.1839
24510150500,"Burleith-Leighton, Baltimore, MD",0.1833
24510010200,"Patterson Park, Baltimore, MD",0.1831
24005401000,"Catonsville, MD",0.1813
24510070100,"Baltimore, MD",0.1808
24510150200,"Sandtown-Winchester, Baltimore, MD",0.1806
24005403602,"Baltimore, MD",0.1804
24510020100,"Upper Fells Point, Baltimore, MD",0.1801
24510030200,"Little Italy, Baltimore, MD",0.1799
24510120400,"Barclay, Baltimore, MD",0.1787
24005400400,"Catonsville, MD",0.1783
24510260101,"Cedmont, Baltimore, MD",0.1779
24510080301,"Berea, Baltimore, MD",0.1779
24510130400,"Woodbrook, Baltimore, MD",0.1767
24510070400,"Gay Street, Baltimore, MD",0.1765
24027601103,"West Elkridge, Elkridge, MD",0.1761
24510270804,"Lake Walker, Baltimore, MD",0.1761
24510272005,"Cross Country, Baltimore, MD",0.1758
24510140200,"Upton, Baltimore, MD",0.1753
24510150900,"Windsor Hills, Baltimore, MD",0.1752
24005440900,"Rosedale, MD",0.1752
24510080600,"Broadway East, Baltimore, MD",0.1749
24510160600,"Mosher, Baltimore, MD",0.1734
24510260800,"Baltimore Highlands, Baltimore, MD",0.1729
24510272006,"Glen, Baltimore, MD",0.1727
24510270703,"North Harford Road, Baltimore, MD",0.1724
24510200702,"Saint Joseph's, Baltimore, MD",0.1707
24510270402,"Glenham-Belford, Baltimore, MD",0.1701
24510150100,"Sandtown-Winchester, Baltimore, MD",0.1693
24510130803,"Medfield, Baltimore, MD",0.1692
24510240300,"Riverside, Baltimore, MD",0.1688
24005450504,"Essex, MD",0.1688
24005491401,"Parkville, MD",0.1683
24510180300,"Hollins Market, Baltimore, MD",0.167
24005420702,"Dundalk, MD",0.167
24005400900,"Catonsville, MD",0.1669
24510010100,"Canton, Baltimore, MD",0.1665
24510270501,"Woodring, Baltimore, MD",0.1665
24510150800,"Garwyn Oaks, Baltimore, MD",0.1662
24510130200,"Reservoir Hill, Baltimore, MD",0.1659
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1641
24510080800,"Broadway East, Baltimore, MD",0.1636
24510060300,"Butchers Hill, Baltimore, MD",0.1631
24510270502,"North Harford Road, Baltimore, MD",0.1619
24510260303,"Claremont - Freedom, Baltimore, MD",0.1617
24510190300,"Mount Clare, Baltimore, MD",0.1612
24510070300,"Milton - Montford, Baltimore, MD",0.1599
24005491402,"Parkville, MD",0.159
24510080200,"Broadway East, Baltimore, MD",0.1587
24005400702,"Baltimore, MD",0.1584
24005411307,"Nottingham, MD",0.1583
24510160801,"Edmondson, Baltimore, MD",0.1581
24510130300,"Penn North, Baltimore, MD",0.1567
24510090400,"Better Waverly, Baltimore, MD",0.1564
24510120500,"Greenmount West, Baltimore, MD",0.1563
24510160400,"Midtown Edmondson, Baltimore, MD",0.1563
24510080700,"Broadway East, Baltimore, MD",0.1553
24510170200,"McCulloh Homes, Baltimore, MD",0.1552
24510180200,"Poppleton, Baltimore, MD",0.155
24005400100,"Catonsville, MD",0.1542
24005450503,"Essex, MD",0.1529
24510060200,"Baltimore, MD",0.1512
24510261100,"Canton, Baltimore, MD",0.1506
24005421000,"Dundalk, MD",0.1505
24005403402,"Pikesville, MD",0.1498
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1494
24510260605,"Medford - Broening, Baltimore, MD",0.1482
24510261000,"Patterson Park, Baltimore, MD",0.148
24510271300,"Roland Park, Baltimore, MD",0.148
24510270102,"Waltherson, Baltimore, MD",0.1475
24005491100,"Baltimore, MD",0.1469
24510271503,"Cross Keys, Baltimore, MD",0.1461
24510280302,"West Forest Park, Baltimore, MD",0.1454
24510160100,"Harlem Park, Baltimore, MD",0.1449
24510080500,"Darley Park, Baltimore, MD",0.144
24510271102,"Mid-Charles, Baltimore, MD",0.143
24510130100,"Reservoir Hill, Baltimore, MD",0.1425
24510271802,"Langston Hughes, Baltimore, MD",0.1425
24510100200,"Baltimore, MD",0.142
24510151200,"Park Circle, Baltimore, MD",0.1414
24510280403,"Westgate, Baltimore, MD",0.1409
24005492101,"Parkville, MD",0.1409
24510260900,"Baltimore, MD",0.14
24005490603,"Baltimore, MD",0.1388
24005490500,"Towson, MD",0.1386
24510070200,"Madison - Eastend, Baltimore, MD",0.1384
24510080302,"Berea, Baltimore, MD",0.1384
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.1376
24005400500,"Catonsville, MD",0.137
24510160300,"Sandtown-Winchester, Baltimore, MD",0.1364
24510160200,"Sandtown-Winchester, Baltimore, MD",0.1324
24510010400,"Canton, Baltimore, MD",0.1287
24510170300,"Upton, Baltimore, MD",0.125
24510090900,"Oliver, Baltimore, MD",0.1244
24510210200,"Pigtown, Baltimore, MD",0.1239
24510250102,"Yale Heights, Baltimore, MD",0.1237
24510150300,"Coppin Heights, Baltimore, MD",0.122
24510020200,"Upper Fells Point, Baltimore, MD",0.1216
24510271200,"Homeland, Baltimore, MD",0.1213
24510120201,"Baltimore, MD",0.1174
24510080400,"Broadway East, Baltimore, MD",0.1174
24510020300,"Fells Point, Baltimore, MD",0.1169
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.1096
24510280301,"Gwynn Oak, Baltimore, MD",0.1042
24510230200,"South Baltimore, Baltimore, MD",0.1027
24510010500,"Upper Fells Point, Baltimore, MD",0.1023
24510040200,"Downtown, Baltimore, MD",0.1004
24510200100,"Lexington, Baltimore, MD",0.0982
24510271501,"Mount Washington, Baltimore, MD",0.0967
24005490601,"Baltimore, MD",0.0923
24510210100,"Pigtown, Baltimore, MD",0.0907
24510140100,"Bolton Hill, Baltimore, MD",0.0901
24510110100,"Downtown, Baltimore, MD",0.0879
24510271400,"Evergreen, Baltimore, MD",0.0836
24510110200,"Downtown, Baltimore, MD",0.0818
24510040100,"Downtown, Baltimore, MD",0.0786
24510260700,"Fifteenth Street, Baltimore, MD",0.0739
24510120202,"Baltimore, MD",0.0498
24003990000,"Annapolis, MD",
24005980000,"Edgemere, MD",
24005980100,"Lansdowne - Baltimore Highlands, Baltimore, MD",
24005492500,"Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",