"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p50"
6071008001,"North Redlands, Redlands, CA",0.2861
6071008002,"North Redlands, Redlands, CA",0.271
6071007904,"Highland, CA",0.2423
6071007200,"Riverview, San Bernardino, CA",0.2263
6071008601,"Mentone, CA",0.2256
6071007302,"Loma Linda, CA",0.2161
6071008704,"Yucaipa, CA",0.2045
6065043822,"Beaumont, CA",0.2031
6065043823,"Beaumont, CA",0.2029
6071008705,"Yucaipa, CA",0.2013
6065042412,"Moreno Valley, CA",0.1985
6071008500,"South Redlands, Redlands, CA",0.191
6071008402,"North Redlands, Redlands, CA",0.1889
6071008401,"North Redlands, Redlands, CA",0.1873
6071008404,"North Redlands, Redlands, CA",0.1805
6071008200,"South Redlands, Redlands, CA",0.1783
6065043802,"Calimesa, CA",0.1761
6071011500,"Forest Falls, CA",0.1742
6071007604,"Crossroads, Highland, CA",0.173
6071007305,"North Central, Loma Linda, CA",0.1702
6071008706,"Yucaipa, CA",0.1641
6071008602,"Crafton, Mentone, CA",0.1635
6071007306,"Loma Linda, CA",0.1614
6071008403,"South Redlands, Redlands, CA",0.1566
6071008302,"Live Oak Canyon, Redlands, CA",0.1552
6071008301,"South Redlands, Redlands, CA",0.1512
6071008100,"West Redlands, Redlands, CA",0.1373
6071007800,"West Redlands, Redlands, CA",0.1159
6071980100,"San Bernardino International Airport, San Bernardino, CA",